14. 1. 20 오후 9:59
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	  108827	754411	                    3422602	                      3749013	
Remaining:       	   40021	448310	                    1519071	                      1618970	
Unique:          	   76896	616182	                    2794138	                      3068049	
Unique Remaining:	   33102	381432	                    1293155	                      1379103	


Individual File Statistics:

File Name                                                                                                   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
rubydoc/refm/api/src/_builtin/Interrupt                                                                     	            22	                 4	             14	                        4	         75	             40	          64	                    40	                              349	                                  140	                               307	                                         140	                                370	                                    145	                                 325	                                           145	
rubydoc/refm/api/src/_builtin/IO                                                                            	          1137	               521	            793	                      404	      10415	           6526	        7940	                  5117	                            37694	                                19568	                             29708	                                       15468	                              43972	                                  20941	                               35276	                                         16585	
rubydoc/refm/api/src/_builtin/IO__WaitReadable                                                              	             3	                 3	              3	                        3	         28	             28	          28	                    28	                              104	                                  104	                               104	                                         104	                                109	                                    109	                                 109	                                           109	
rubydoc/refm/api/src/_builtin/IO__WaitWritable                                                              	             3	                 3	              2	                        2	         28	             28	          23	                    23	                              105	                                  105	                                85	                                          85	                                110	                                    110	                                  88	                                            88	
rubydoc/refm/api/src/_builtin/IOError                                                                       	             2	                 0	              2	                        0	         11	              0	          11	                     0	                               45	                                    0	                                45	                                           0	                                 49	                                      0	                                  49	                                             0	
rubydoc/refm/api/src/_builtin/Kernel                                                                        	             7	                 1	              7	                        1	         64	              9	          64	                     9	                              247	                                   29	                               247	                                          29	                                251	                                     29	                                 251	                                            29	
rubydoc/refm/api/src/_builtin/KeyError                                                                      	             5	                 3	              4	                        3	         43	             37	          42	                    37	                              182	                                  139	                               177	                                         139	                                199	                                    151	                                 194	                                           151	
rubydoc/refm/api/src/_builtin/lambda_proc                                                                   	           104	                40	             70	                       38	        768	            613	         689	                   574	                             2534	                                 1799	                              2308	                                        1705	                               2966	                                   2028	                                2660	                                          1912	
rubydoc/refm/api/src/_builtin/LoadError                                                                     	            13	                 4	              9	                        4	         75	             47	          70	                    47	                              350	                                  175	                               320	                                         175	                                381	                                    187	                                 349	                                           187	
rubydoc/refm/api/src/_builtin/LocalJumpError                                                                	            51	                 5	             22	                        5	        174	             64	         113	                    64	                              951	                                  204	                               573	                                         204	                               1164	                                    217	                                 693	                                           217	
rubydoc/refm/api/src/_builtin/main                                                                          	            37	                14	             34	                       14	        332	            183	         307	                   183	                             1251	                                  541	                              1159	                                         541	                               1334	                                    562	                                1233	                                           562	
rubydoc/refm/api/src/_builtin/Marshal                                                                       	            70	                46	             67	                       46	        601	            489	         593	                   489	                             2276	                                 1551	                              2230	                                        1551	                               2439	                                   1621	                                2387	                                          1621	
rubydoc/refm/api/src/_builtin/MatchData                                                                     	           132	                48	            109	                       42	        926	            525	         775	                   471	                             3884	                                 1532	                              3280	                                        1383	                               4469	                                   1674	                                3798	                                          1509	
rubydoc/refm/api/src/_builtin/Math                                                                          	           231	               151	            121	                       72	       1790	           1554	         923	                   719	                             5760	                                 4510	                              2955	                                        1878	                               6344	                                   4906	                                3321	                                          2059	
rubydoc/refm/api/src/_builtin/Method                                                                        	           182	                60	            140	                       59	       1157	            730	        1062	                   718	                             4389	                                 2139	                              4077	                                        2119	                               5108	                                   2327	                                4766	                                          2306	
rubydoc/refm/api/src/_builtin/Module                                                                        	           946	               321	            594	                      257	       5845	           3857	        4606	                  3173	                            25438	                                12644	                             20717	                                       10311	                              28167	                                  13566	                               23022	                                         11048	
rubydoc/refm/api/src/_builtin/NameError                                                                     	            24	                 0	             15	                        0	        116	              0	          97	                     0	                              549	                                    0	                               463	                                           0	                                622	                                      0	                                 529	                                             0	
rubydoc/refm/api/src/_builtin/NilClass                                                                      	            46	                 1	             28	                        1	        196	              8	         127	                     8	                              764	                                   24	                               497	                                          24	                                879	                                     26	                                 569	                                            26	
rubydoc/refm/api/src/_builtin/NoMemoryError                                                                 	             2	                 0	              2	                        0	         11	              0	          11	                     0	                               47	                                    0	                                47	                                           0	                                 51	                                      0	                                  51	                                             0	
rubydoc/refm/api/src/_builtin/NoMethodError                                                                 	            36	                 0	             20	                        0	        149	              0	         109	                     0	                              716	                                    0	                               569	                                           0	                                787	                                      0	                                 627	                                             0	
rubydoc/refm/api/src/_builtin/NotImplementedError                                                           	             2	                 0	              2	                        0	         13	              0	          13	                     0	                               63	                                    0	                                63	                                           0	                                 67	                                      0	                                  67	                                             0	
rubydoc/refm/api/src/_builtin/Numeric                                                                       	           568	               115	            340	                       68	       3226	           1340	        2220	                   863	                            13425	                                 3776	                              9263	                                        2440	                              20949	                                   4144	                               14194	                                          2673	
rubydoc/refm/api/src/_builtin/Object                                                                        	          1075	               208	            745	                      193	       6686	           2683	        5571	                  2533	                            31684	                                 8975	                             27238	                                        8487	                              34612	                                   9430	                               29783	                                          8915	
rubydoc/refm/api/src/_builtin/ObjectSpace                                                                   	           118	                50	             88	                       49	        791	            585	         727	                   581	                             3348	                                 1875	                              3061	                                        1866	                               3708	                                   1981	                                3401	                                          1971	
rubydoc/refm/api/src/_builtin/ObjectSpace__WeakMap                                                          	            12	                 8	             11	                        7	        111	            100	         103	                    92	                              388	                                  300	                               362	                                         274	                                421	                                    321	                                 393	                                           293	
rubydoc/refm/api/src/_builtin/pack-template                                                                 	           560	               141	            488	                      128	       3623	           1304	        3336	                  1195	                            18187	                                 4616	                             16833	                                        4226	                              20482	                                   4918	                               18937	                                          4498	
